-0.344526 -61.9692 -61.9692 1 1 0
-0.315546 -61.9015 -61.9015 1 1 0
-0.287084 -61.8337 -61.8337 1 1 0
-0.259134 -61.7658 -61.7658 1 1 0
-0.231693 -61.6978 -61.6978 1 1 0
-0.204754 -61.6297 -61.6297 1 1 0
-0.178314 -61.5615 -61.5615 1 1 0
-0.152366 -61.4933 -61.4933 1 1 0
-0.126906 -61.4249 -61.4249 1 1 0
-0.101928 -61.3564 -61.3564 1 1 0
-0.0774267 -61.2878 -61.2878 1 1 0
-0.0533974 -61.2192 -61.2192 1 1 0
-0.0298345 -61.1505 -61.1505 1 1 0
-0.00673254 -61.0817 -61.0817 1 1 0
0.015914 -61.0128 -61.0128 1 1 0
0.0381104 -60.9439 -60.9439 1 1 0
0.0598623 -60.8749 -60.8749 1 1 0
0.0811752 -60.8058 -60.8058 1 1 0
0.102054 -60.7366 -60.7366 1 1 0
0.122506 -60.6674 -60.6674 1 1 0
0.142534 -60.5981 -60.5981 1 1 0
0.162146 -60.5288 -60.5288 1 1 0
0.181346 -60.4594 -60.4594 1 1 0
0.200141 -60.3899 -60.3899 1 1 0
0.218534 -60.3204 -60.3204 1 1 0
0.236533 -60.2509 -60.2509 1 1 0
0.254142 -60.1813 -60.1813 1 1 0
0.271368 -60.1116 -60.1116 1 1 0
0.288214 -60.0419 -60.0419 1 1 0
0.304688 -59.9722 -59.9722 1 1 0
0.320794 -59.9024 -59.9024 1 1 0
0.336537 -59.8326 -59.8326 1 1 0
0.351923 -59.7627 -59.7627 1 1 0
0.366958 -59.6928 -59.6928 1 1 0
0.381646 -59.6228 -59.6228 1 1 0
0.395993 -59.5529 -59.5529 1 1 0
0.410003 -59.4828 -59.4828 1 1 0
0.423683 -59.4128 -59.4128 1 1 0
0.437038 -59.3427 -59.3427 1 1 0
0.450071 -59.2726 -59.2726 1 1 0
0.462789 -59.2025 -59.2025 1 1 0
0.475197 -59.1323 -59.1323 1 1 0
0.487298 -59.0621 -59.0621 1 1 0
0.499099 -58.9919 -58.9919 1 1 0
0.510605 -58.9217 -58.9217 1 1 0
0.521819 -58.8514 -58.8514 1 1 0
0.532747 -58.7811 -58.7811 1 1 0
0.543393 -58.7108 -58.7108 1 1 0
0.553763 -58.6405 -58.6405 1 1 0
0.56386 -58.5701 -58.5701 1 1 0
0.57369 -58.4998 -58.4998 1 1 0
0.583256 -58.4294 -58.4294 1 1 0
0.592564 -58.359 -58.359 1 1 0
0.601618 -58.2885 -58.2885 1 1 0
0.610421 -58.2181 -58.2181 1 1 0
0.61898 -58.1477 -58.1477 1 1 0
0.627297 -58.0772 -58.0772 1 1 0
0.635376 -58.0067 -58.0067 1 1 0
0.643223 -57.9362 -57.9362 1 1 0
0.650842 -57.8657 -57.8657 1 1 0
0.658235 -57.7952 -57.7952 1 1 0
0.665408 -57.7247 -57.7247 1 1 0
0.672364 -57.6541 -57.6541 1 1 0
0.679107 -57.5836 -57.5836 1 1 0
0.685642 -57.513 -57.513 1 1 0
0.691971 -57.4425 -57.4425 1 1 0
0.698098 -57.3719 -57.3719 1 1 0
0.704028 -57.3013 -57.3013 1 1 0
0.709764 -57.2307 -57.2307 1 1 0
0.715309 -57.1601 -57.1601 1 1 0
0.720668 -57.0895 -57.0895 1 1 0
0.725843 -57.0189 -57.0189 1 1 0
0.730838 -56.9482 -56.9482 1 1 0
0.735656 -56.8776 -56.8776 1 1 0
0.740301 -56.807 -56.807 1 1 0
0.744776 -56.7363 -56.7363 1 1 0
0.749085 -56.6657 -56.6657 1 1 0
